Accession,Position,Origin
Ames_22461,A1,Poland
Ames_23761,B1,"Ontario,Canada"
Ames_24499,C1,FormerSerbiaandMontenegro
Ames_29509,D1,"Ohio,UnitedStates"
Ames_29512,E1,"Ohio,UnitedStates"
Ames_29513,F1,"Iowa,UnitedStates"
Ames_29531,G1,"NorthDakota,UnitedStates"
Ames_30933,H1,"Magallanes,Chile"
Ames_30982,A2,"Iowa,UnitedStates"
Ames_30983,B2,"Illinois,UnitedStates"
Ames_30984,C2,"SouthDakota,UnitedStates"
Ames_30985,D2,"SouthDakota,UnitedStates"
Ames_30997,E2,"Colorado,UnitedStates"
Ames_30998,F2,"Colorado,UnitedStates"
Ames_30999,G2,"Colorado,UnitedStates"
Ames_31000,H2,"Colorado,UnitedStates"
Ames_31001,A3,"Colorado,UnitedStates"
Ames_31002,B3,"Colorado,UnitedStates"
Ames_31003,C3,"Colorado,UnitedStates"
Ames_31004,D3,"Colorado,UnitedStates"
Ames_31005,E3,"Colorado,UnitedStates"
Ames_31006,F3,"Colorado,UnitedStates"
Ames_31007,G3,"Colorado,UnitedStates"
Ames_31008,H3,"Colorado,UnitedStates"
Ames_31009,A4,"Colorado,UnitedStates"
Ames_31010,B4,"Colorado,UnitedStates"
Ames_31011,C4,"Colorado,UnitedStates"
Ames_31012,D4,"Colorado,UnitedStates"
Ames_31013,E4,"Colorado,UnitedStates"
Ames_31014,F4,"Colorado,UnitedStates"
Ames_31015,G4,"Colorado,UnitedStates"
Ames_31016,H4,"Colorado,UnitedStates"
Ames_31017,A5,"Colorado,UnitedStates"
Ames_31018,B5,"Colorado,UnitedStates"
Ames_31019,C5,"Colorado,UnitedStates"
Ames_31020,D5,"Colorado,UnitedStates"
Ames_31021,E5,"Colorado,UnitedStates"
Ames_31022,F5,"Colorado,UnitedStates"
Ames_31023,G5,"Colorado,UnitedStates"
Ames_31024,H5,"Colorado,UnitedStates"
Ames_31025,A6,"Colorado,UnitedStates"
Ames_31026,B6,"Colorado,UnitedStates"
Ames_31487,C6,"Ontario,Canada"
Ames_31488,D6,"Ontario,Canada"
Ames_31489,E6,"Saskatchewan,Canada"
Ames_31490,F6,"Saskatchewan,Canada"
Ames_31491,G6,"Saskatchewan,Canada"
Ames_31492,H6,"Saskatchewan,Canada"
Ames_31493,A7,"Saskatchewan,Canada"
Ames_31494,B7,"Saskatchewan,Canada"
Ames_31495,C7,"Saskatchewan,Canada"
Ames_31496,D7,"Saskatchewan,Canada"
Ames_31497,E7,"Saskatchewan,Canada"
Ames_31498,F7,"Alberta,Canada"
Ames_31499,G7,"BritishColumbia,Canada"
Ames_31500,H7,"Alberta,Canada"
Ames_31501,A8,"Manitoba,Canada"
Ames_31502,B8,"Manitoba,Canada"
Ames_32239,C8,"Colorado,UnitedStates"
Ames_32757,D8,"Colorado,UnitedStates"
Ames_32867,E8,Armenia
Ames_32868,F8,Armenia
Ames_32869,G8,Armenia
Ames_32870,H12,Armenia
Ames_32871,A9,Armenia
Ames_32872,B9,Armenia
Ames_32873,C9,Armenia
Ames_33895,D9,"Idaho,UnitedStates"
Ames_33896,E9,"Idaho,UnitedStates"
Ames_33897,F9,"Idaho,UnitedStates"
Ames_34005,G9,"Colorado,UnitedStates"
Ames_34006,H9,"Colorado,UnitedStates"
Ames_35896,A10,.
PI_633414,B10,"Thüringen,Germany"
PI_633415,C10,"Sachsen,Germany"
PI_650284,D10,"Thüringen,Germany"
PI_650285,E10,"Sachsen,Germany"
PI_650286,,"Sachsen,Germany"
PI_650287,F10,"Grand-Est,France"
PI_672505,G10,"Illinois,UnitedStates"
PI_673443,H10,"Illinois,UnitedStates"
PI_677360,A11,"Illinois,UnitedStates"
PB1,B11,CentralMissouri
PB2,C11,CentralMissouri
PB3,D11,CentralMissouri
PB4,E11,CentralMissouri
PB5,F11,CentralMissouri
PB6,G11,CentralMissouri
PB7,H11,CentralMissouri
PB8,A12,CentralMissouri
PB10,B12,CentralMissouri
PB11,C12,CentralMissouri
PB12,D12,CentralMissouri
PB13,E12,CentralMissouri
CM14,F12,NorthEastMissouri
CM15,G12,NorthEastMissouri
CM16,,NorthEastMissouri
CM17,,NorthEastMissouri
CM18,,NorthEastMissouri
CM19,,NorthEastMissouri
CM20,,NorthEastMissouri
Ames_31027,,"Colorado,UnitedStates"
Ames_32874,,Armenia
Hunc,,HungaryCollection
Smida,,Missouri
